FEE	Channel	   Offset	Peaks	       INL	Comment
6	25	   140.116	5	0.000920654	
6	26	   131.668	5	0.000319695	
6	27	  -246.725	5	0.000879601	
6	28	   126.674	5	0.000716976	
6	29	  -149.537	5	0.000399792	
6	30	  -8.53728	5	0.000659545	
6	31	   51.6942	5	0.000433289	
6	32	   5.52773	5	0.00138468	
6	33	   44.2131	5	0.00118883	
6	34	   144.339	5	0.000571623	
6	35	  -288.733	5	0.000416339	
6	36	  -214.667	5	0.000864775	
6	37	   55.9896	5	0.000623861	
6	38	  -799.691	5	 0.0352355	High INL 
6	39	   18.7591	5	0.00167573	
6	40	   190.307	5	0.00181782	
6	41	   117.882	5	0.000763946	
6	42	  -31.1826	5	0.000876609	
6	43	   199.303	5	0.00087327	
6	44	   -119.69	5	0.00100685	
6	45	   219.141	4	0.00380856	Few peaks 
6	46	   27.7514	5	0.000272894	
6	47	  -87.6236	5	0.000814234	
6	48	  -13.9836	5	9.06841e-05	
6	49	  0	3	 0.0312638	High INL Few peaks 
6	50	  -191.003	5	0.00141826	
6	51	  -132.846	5	0.000739184	
6	52	  -53.5855	5	0.000374292	
6	53	   22.0577	3	2.19377e-06	Low INL Few peaks 
6	54	   8.94751	5	0.000307637	
6	55	   8.00919	5	0.000519888	
6	56	         0	0	         0	No peaks?
6	57	   131.839	3	0.000523825	Few peaks 
6	58	   1.84352	5	0.00299326	
6	59	         0	0	         0	No peaks?
6	60	   1961.44	2	2.77564e-17	Low INL Few peaks 
6	61	  -1.52346	5	0.000161901	
6	62	         0	0	         0	No peaks?
6	63	   0	5	 0.0214296	High INL 
6	64	   76.8116	4	0.000850846	Few peaks 
7	1	  -113.697	5	0.000838687	
7	2	   17.8079	5	0.00214004	
7	3	   23.6522	5	0.000533004	
7	4	   251.514	5	 0.0034017	
7	5	  -24.8052	5	0.00107552	
7	6	  -103.976	5	0.000479499	
7	7	   23.9794	5	0.000829071	
7	8	   47.8971	5	0.000933165	
7	9	   79.9077	5	0.000724159	
7	10	   212.509	5	0.000633572	
7	11	  -156.928	5	0.000883499	
7	12	   205.478	5	0.00069088	
7	13	  -43.0077	5	0.000538632	
7	14	  -94.0359	5	0.000585339	
7	15	   83.6535	5	0.00050532	
7	16	  -32.3369	5	0.000306677	
7	17	   1244.98	5	 0.0205016	High INL 
7	18	   134.064	5	0.000330165	
7	19	   -11.744	5	0.000294414	
7	20	   -34.447	5	0.000818889	
7	21	   126.492	5	0.000348743	
7	22	   212.656	5	0.000663285	
7	23	   128.816	5	0.000836269	
7	24	   -56.854	5	0.000521488	
7	25	   62.1921	5	 0.0011417	
7	26	  -76.5993	5	0.000377463	
7	27	   28.7975	5	0.000299638	
7	28	   2.27461	5	0.000416588	
